Key,Module,EN,CN,TC,JP,KR,RU,MX,PT,FR,DE,ID,VI,TH,IT
summon.cursed_by_rng,summon,Cursed by RNG,被RNG诅咒,被RNG詛咒,RNGに呪われている,RNG의 저주,Проклят ГСЧ,Maldecido por RNG,Amaldiçoado pelo RNG,Maudit par le RNG,Vom RNG verflucht,Dikutuk RNG,Bị RNG nguyền rủa,ถูกสาปโดย RNG,Maledetto dall'RNG
summon.cursed_title,summon,The gacha gods are testing you...,抽卡之神在考验你...,抽卡之神在考驗你...,ガチャの神があなたをテストしています...,가챠의 신이 당신을 시험하고 있습니다...,Боги гачи испытывают вас...,Los dioses del gacha te están poniendo a prueba...,Amaldiçoado,Maudit,Verflucht,Dikutuk,Bị nguyền rủa!,ถูกสาป!,Gli dei del gacha ti stanno mettendo alla prova...
summon.description,summon,"Feed your gacha addiction! Roll the dice and chase those elusive 6★ characters with realistic drop rates. ""Just one more 10-pull, I swear!""",满足您的抽卡瘾！掷骰子追逐那些难以捉摸的6★角色，真实掉落率。'再来一次十连，我发誓！',滿足您的抽卡癮！擲骰子追逐那些難以捉摸的6★角色，真實掉落率。「再來一次十連，我發誓！」,ガチャ中毒を満たそう！サイコロを振って、現実的なドロップ率で捕らえにくい6★キャラクターを追いかけよう。「あと1回10連、誓います！」,"가챠 중독을 만족시키세요! 주사위를 굴려 현실적인 드롭률로 잡기 힘든 6★ 캐릭터를 쫓으세요. ""한 번만 더 10연, 맹세합니다!""","Удовлетворите свою зависимость от гачи! Бросайте кости и гонитесь за неуловимыми 6★ персонажами с реалистичными шансами выпадения. ""Ещё один десятикратный призыв, клянусь!""","¡Alimenta tu adicción al gacha! Lanza los dados y persigue esos esquivos personajes 6★ con tasas de caída realistas. ""¡Solo una invocación de 10 más, lo juro!""",Simule evocações e teste sua sorte,Simulez vos invocations sans dépenser de ressources réelles,Simulieren Sie Ihre Beschwörungen ohne echte Ressourcen auszugeben,Simulasikan summon dan uji keberuntungan Anda,Mô phỏng triệu hồi với hệ thống pity thực,จำลองการเรียกพร้อมระบบ pity จริง,"Sfoga la tua dipendenza da gacha! Tira i dadi e insegui quei personaggi 6★ sfuggenti con tassi di drop realistici. ""Solo un altro 10-pull, giuro!"""
summon.discord_linked,summon,Discord linked - You'll receive the role if you win!,Discord已关联 - 如果您获胜，您将获得角色！,Discord已關聯 - 如果您獲勝，您將獲得角色！,Discord連携済み - 優勝すればロールがもらえます！,Discord 연결됨 - 이기면 역할을 받습니다!,"Discord связан - Вы получите роль, если выиграете!",Discord vinculado - ¡Recibirás el rol si ganas!,Discord Vinculado,Discord Lié,Discord verknüpft,Discord Terhubung,Đã liên kết Discord,เชื่อมต่อ Discord แล้ว,Discord collegato - Riceverai il ruolo se vinci!
summon.discord_warning,summon,"You can still submit to the leaderboard, but you won't get the role if you win without Discord linked!",您仍可以提交到排行榜，但如果没有关联Discord，获胜后将无法获得角色！,您仍可以提交到排行榜，但如果沒有關聯Discord，獲勝後將無法獲得角色！,リーダーボードに提出できますが、Discordをリンクせずに勝ってもロールは獲得できません！,리더보드에 제출할 수 있지만 Discord를 연결하지 않고 이기면 역할을 받지 못합니다!,"Вы всё ещё можете отправить в таблицу лидеров, но не получите роль, если выиграете без связанного Discord!","¡Aún puedes enviar a la tabla de clasificación, pero no obtendrás el rol si ganas sin Discord vinculado!",Vincule seu Discord para participar do ranking,Avertissement Discord,Discord-Warnung,Hubungkan Discord Anda untuk bergabung di papan peringkat,Liên kết Discord để xuất hiện trên bảng xếp hạng,เชื่อมต่อ Discord เพื่อปรากฏบนลีดเดอร์บอร์ด,"Puoi comunque inviare alla classifica, ma non otterrai il ruolo se vinci senza Discord collegato!"
summon.download_image,summon,Download Image,下载图片,下載圖片,画像をダウンロード,이미지 다운로드,Скачать Изображение,Descargar Imagen,Baixar Imagem,Télécharger l'Image,Bild herunterladen,Unduh Gambar,Tải ảnh,ดาวน์โหลดรูปภาพ,Scarica Immagine
summon.drop_rates,summon,Summon Drop Rates,招募掉落率,招募掉落率,召喚ドロップ率,소환 드롭률,Шансы Призыва,Tasas de Caída de Invocación,Taxas de Drop,Taux de Drop,Drop-Raten,Drop Rate,Tỷ lệ rơi,อัตราดรอป,Tassi di Drop Evocazione
summon.drop_rates_by_rarity,summon,Drop Rates by Rarity,按稀有度划分的掉落率,按稀有度劃分的掉落率,レアリティ別排出率,등급별 드롭률,Шансы Выпадения по Редкости,Tasas de Caída por Rareza,Taxas de Drop por Raridade,Taux de Drop par Rareté,Drop-Raten nach Seltenheit,Drop Rate berdasarkan Kelangkaan,Tỷ lệ rơi theo độ hiếm,อัตราดรอปตามระดับหายาก,Tassi di Drop per Rarità
summon.each_rate,summon,~{rate}% each,~{rate}% 每个,~{rate}% 每個,~{rate}% 各,~{rate}% 각각,~{rate}% каждый,~{rate}% cada uno,Taxa Individual,Taux Individuel,Einzelne Rate,Rate Masing-masing,Tỷ lệ mỗi,อัตราแต่ละ,~{rate}% ciascuno
summon.expected_rate,summon,Expected: {rate}%,期望：{rate}%,期望：{rate}%,期待値：{rate}%,예상: {rate}%,Ожидаемо: {rate}%,Esperado: {rate}%,Taxa Esperada,Taux Attendu,Erwartete Rate,Rate Yang Diharapkan,Tỷ lệ kỳ vọng,อัตราที่คาดหวัง,Previsto: {rate}%
summon.first_six_star,summon,First 6★ at:,首个6★于：,首個6★於：,最初の6★：,첫 6★:,Первый 6★ на:,Primer 6★ en:,Primeiro 6★,Premier 6★,Erster 6★,6★ Pertama,6 sao đầu tiên,6 ดาวแรก,Primo 6★ a:
summon.first_six_star_pulls,summon,{count} pulls,{count}次招募,{count}次招募,{count}回引き,{count}회 뽑기,{count} призывах,{count} invocaciones,Evocações até Primeiro 6★,Invocations jusqu'au premier 6★,Beschwörungen bis zum ersten 6★,Summon hingga 6★ Pertama,Số lần triệu hồi đến 6 sao đầu tiên,จำนวนครั้งเรียกจนได้ 6 ดาวแรก,{count} pull
summon.five_star_guarantee,summon,5★ Guarantee System,5★保底系统,5★保底系統,5★保証システム,5★ 보장 시스템,Система Гарантии 5★,Sistema de Garantía 5★,Garantia de 5★,Garantie 5★,5★-Garantie,Jaminan 5★,Đảm bảo 5 sao,การันตี 5 ดาว,Sistema Garanzia 5★
summon.five_star_pity_counter,summon,5★ Pity Counter,5★保底计数器,5★保底計數器,5★天井カウンター,5★ 천장 카운터,Счётчик Гарантии 5★,Contador de Piedad 5★,Contador de Pity 5★,Compteur de Pitié 5★,5★-Mitleids-Zähler,Counter Pity 5★,Bộ đếm pity 5 sao,ตัวนับ pity 5 ดาว,Contatore Pity 5★
summon.five_star_rate,summon,5★ Rate,5★掉落率,5★掉落率,5★レート,5★ 확률,Шанс 5★,Tasa 5★,Taxa de 5★,Taux 5★,5★-Rate,Rate 5★,Tỷ lệ 5 sao,อัตรา 5 ดาว,Tasso 5★
summon.four_star_rate,summon,4★ Rate,4★掉落率,4★掉落率,4★レート,4★ 확률,Шанс 4★,Tasa 4★,Taxa de 4★,Taux 4★,4★-Rate,Rate 4★,Tỷ lệ 4 sao,อัตรา 4 ดาว,Tasso 4★
summon.fun_stats,summon,Fun Stats,趣味统计,趣味統計,面白い統計,재미있는 통계,Забавная Статистика,Estadísticas Divertidas,Estatísticas Divertidas,Stats Amusantes,Spaß-Stats,Statistik Menyenangkan,Thống kê vui,สถิติสนุก,Statistiche Divertenti
summon.gacha_hell,summon,Gacha Hell,抽卡地狱,抽卡地獄,ガチャ地獄,가챠 지옥,Гача Ад,Infierno Gacha,Inferno do Gacha,Enfer du Gacha,Gacha-Hölle,Neraka Gacha,Địa ngục gacha,นรก gacha,Inferno Gacha
summon.gacha_hell_title,summon,May your luck improve soon...,愿你的运气很快好转...,願你的運氣很快好轉...,あなたの運がすぐに改善されますように...,당신의 운이 곧 나아지기를...,Пусть ваша удача скоро улучшится...,Que tu suerte mejore pronto...,Inferno do Gacha,Bienvenue en Enfer,Willkommen in der Hölle,Neraka Gacha,Địa ngục Gacha,นรก Gacha,Che la tua fortuna migliori presto...
summon.generating_image,summon,Generating image...,正在生成图片...,正在生成圖片...,画像を生成中...,이미지 생성 중...,Генерация изображения...,Generando imagen...,Gerando imagem...,Génération de l'image...,Bild wird generiert...,Membuat gambar...,Đang tạo ảnh...,กำลังสร้างรูปภาพ...,Generazione immagine...
summon.guaranteed_at,summon,Guaranteed 6★ at {threshold} summons,第{threshold}次招募时保证获得6★,第{threshold}次招募時保證獲得6★,{threshold}回召喚で6★確定,{threshold}회 소환 시 6★ 보장,Гарантированный 6★ на {threshold} призыве,6★ garantizado en {threshold} invocaciones,Garantido em,Garanti à,Garantiert bei,Dijamin di,Đảm bảo tại,การันตีที่,6★ garantito a {threshold} evocazioni
summon.guaranteed_five_star,summon,Guaranteed 5★ or higher every {threshold} summons without getting a 5★+,每{threshold}次未获得5★+时保证获得5★或更高,每{threshold}次未獲得5★+時保證獲得5★或更高,5★+を獲得せずに{threshold}回召喚ごとに5★以上を保証,5★+를 획득하지 않고 {threshold}회 소환마다 5★ 이상 보장,Гарантированный 5★ или выше каждые {threshold} призывов без получения 5★+,5★ o superior garantizado cada {threshold} invocaciones sin obtener un 5★+,5★ Garantido,5★ Garanti,5★ garantiert,5★ Dijamin,Đảm bảo 5 sao,การันตี 5 ดาว,5★ o superiore garantito ogni {threshold} evocazioni senza ottenere un 5★+
summon.individual_character_rates,summon,Individual Character Drop Rates,单个角色掉落率,單個角色掉落率,個別キャラクター排出率,개별 캐릭터 드롭률,Индивидуальные Шансы Персонажей,Tasas Individuales de Personajes,Taxas Individuais de Personagem,Taux Individuels par Personnage,Individuelle Charakterraten,Rate Karakter Individual,Tỷ lệ từng nhân vật,อัตราตัวละครแต่ละตัว,Tassi di Drop Personaggio Individuali
summon.leaderboard_description,summon,Top 10 best pulls of the week (resets every Monday),本周前10名最佳十连（每周一重置）,本週前10名最佳十連（每週一重置）,今週のベスト10引き（毎週月曜日にリセット）,이번 주 최고의 10연 (매주 월요일 리셋),Топ-10 лучших призывов недели (сбрасывается каждый понедельник),Los 10 mejores resultados de la semana (se reinicia cada lunes),Veja quem tem mais sorte nas evocações,Comparez votre chance avec les autres joueurs,Vergleichen Sie Ihr Glück mit anderen Spielern,Lihat siapa yang paling beruntung dalam summon,Xem ai may mắn nhất trong cộng đồng,ดูว่าใครโชคดีที่สุดในชุมชน,I 10 migliori pull della settimana (si resetta ogni lunedì)
summon.leaderboard_discord_reward,summon,"The #1 player gets the ""King of the Hill"" role on the {site} Discord!",第1名玩家将获得{site} Discord上的'山丘之王'角色！,第1名玩家將獲得{site} Discord上的「山丘之王」角色！,1位のプレイヤーは{site} Discordで「丘の王」ロールを獲得！,"1위 플레이어는 {site} Discord에서 ""힐의 왕"" 역할을 획득합니다!","Игрок #1 получает роль ""Король Холма"" на Discord {site}!","¡El jugador #1 obtiene el rol de ""Rey de la Colina"" en el Discord de {site}!",Vincule seu Discord para recompensas,Récompense Discord,Discord-Belohnung,Hubungkan Discord Anda untuk hadiah,Liên kết Discord để xuất hiện trên bảng xếp hạng,เชื่อมต่อ Discord เพื่อปรากฏบนลีดเดอร์บอร์ด,"Il giocatore #1 ottiene il ruolo ""Re della Collina"" sul Discord di {site}!"
summon.leaderboard_title,summon,Weekly Leaderboard,每周排行榜,每週排行榜,週間リーダーボード,주간 리더보드,Еженедельная Таблица Лидеров,Tabla de Clasificación Semanal,Ranking,Classement,Rangliste,Papan Peringkat,Bảng xếp hạng,ลีดเดอร์บอร์ด,Classifica Settimanale
summon.least_pulled_character,summon,Least Pulled Character,最少招募的角色,最少招募的角色,最も引いてないキャラクター,가장 적게 뽑은 캐릭터,Реже Всего Выпавший Персонаж,Personaje Menos Obtenido,Personagem Menos Evocado,Personnage le Moins Obtenu,Am wenigsten beschwörter Charakter,Karakter Paling Jarang Di-summon,Nhân vật triệu hồi ít nhất,ตัวละครที่เรียกได้น้อยที่สุด,Personaggio Meno Evocato
summon.least_pulled_six_star,summon,Least Pulled 6★,最少招募的6★,最少招募的6★,最も引いてない6★,가장 적게 뽑은 6★,Реже Всего Выпавший 6★,6★ Menos Obtenido,6★ Menos Evocado,6★ le Moins Obtenu,Am wenigsten beschwörter 6★,6★ Paling Jarang Di-summon,6 sao triệu hồi ít nhất,6 ดาวที่เรียกได้น้อยที่สุด,6★ Meno Evocato
summon.legendary_luck,summon,Legendary Luck,传说级幸运,傳說級幸運,伝説的な幸運,전설적인 행운,Легендарная Удача,Suerte Legendaria,Sorte Lendária,Chance Légendaire,Legendäres Glück,Keberuntungan Legendaris,Vận may huyền thoại,โชคระดับตำนาน,Fortuna Leggendaria
summon.legendary_title,summon,The RNG gods smile upon you!,RNG之神眷顾着你！,RNG之神眷顧著你！,RNGの神があなたに微笑んでいます！,RNG의 신이 당신을 미소짓고 있습니다!,Боги ГСЧ улыбаются вам!,¡Los dioses del RNG te sonríen!,Lendário,Légendaire,Legendär,Legendaris,Huyền thoại!,ตำนาน!,Gli dei dell'RNG ti sorridono!
summon.link_discord_profile,summon,Link your Discord account in your profile to receive the role!,在您的个人资料中关联您的Discord账户以获得角色！,在您的個人資料中關聯您的Discord帳號以獲得角色！,ロールを受け取るにはプロフィールでDiscordアカウントを連携してください！,역할을 받으려면 프로필에서 Discord 계정을 연결하세요!,"Свяжите свой аккаунт Discord в профиле, чтобы получить роль!",¡Vincula tu cuenta de Discord en tu perfil para recibir el rol!,Vincular Perfil Discord,Lier le Profil Discord,Discord-Profil verknüpfen,Hubungkan Profil Discord,Liên kết hồ sơ Discord,เชื่อมต่อโปรไฟล์ Discord,Collega il tuo account Discord nel profilo per ricevere il ruolo!
summon.link_discord_reminder,summon,Don't forget to link your Discord account to receive the role!,别忘了关联您的Discord账户以获得角色！,別忘了關聯您的Discord帳號以獲得角色！,ロールを受け取るためにDiscordアカウントを連携することをお忘れなく！,역할을 받으려면 Discord 계정을 연결하는 것을 잊지 마세요!,"Не забудьте связать свой аккаунт Discord, чтобы получить роль!",¡No olvides vincular tu cuenta de Discord para recibir el rol!,Lembre-se de vincular seu Discord,N'oubliez pas de lier votre Discord,"Vergessen Sie nicht, Ihr Discord zu verknüpfen",Ingat untuk menghubungkan Discord Anda,Liên kết Discord để lưu kết quả,เชื่อมต่อ Discord เพื่อบันทึกผลลัพธ์,Non dimenticare di collegare il tuo account Discord per ricevere il ruolo!
summon.loading_leaderboard,summon,Loading leaderboard...,正在加载排行榜...,正在載入排行榜...,リーダーボードを読み込み中...,리더보드 로딩 중...,Загрузка таблицы лидеров...,Cargando tabla de clasificación...,Carregando ranking...,Chargement du classement...,Rangliste wird geladen...,Memuat papan peringkat...,Đang tải bảng xếp hạng...,กำลังโหลดลีดเดอร์บอร์ด...,Caricamento classifica...
summon.logged_in,summon,Logged in,已登录,已登入,ログイン済み,로그인됨,Вы вошли,Sesión iniciada,Logado,Connecté,Angemeldet,Sudah masuk,Đã đăng nhập,เข้าสู่ระบบแล้ว,Connesso
summon.login_to_save,summon,Login to save your results,登录以保存您的结果,登入以保存您的結果,結果を保存するにはログイン,결과를 저장하려면 로그인,"Войдите, чтобы сохранить результаты",Inicia sesión para guardar tus resultados,Entre para salvar,Connectez-vous pour sauvegarder,"Melden Sie sich an, um zu speichern",Masuk untuk menyimpan,Đăng nhập để lưu kết quả,เข้าสู่ระบบเพื่อบันทึกผลลัพธ์,Accedi per salvare i risultati
summon.lucky,summon,Lucky!,幸运！,幸運！,ラッキー！,운이 좋음!,Везучий!,¡Afortunado!,Sortudo,Chanceux,Glücklich,Beruntung,May mắn,โชคดี,Fortunato!
summon.lucky_charm,summon,Lucky Charm,幸运符,幸運符,ラッキーチャーム,행운의 부적,Талисман Удачи,Amuleto de la Suerte,Amuleto da Sorte,Porte-Bonheur,Glücksbringer,Jimat Keberuntungan,Bùa may mắn,เครื่องรางโชคดี,Portafortuna
summon.lucky_title,summon,Fortune favors the bold!,幸运青睐勇者！,幸運青睞勇者！,幸運は勇者に味方する！,행운은 용감한 자에게!,Удача благоволит смелым!,¡La fortuna favorece a los valientes!,Sortudo,Chanceux,Glücklich,Beruntung,May mắn!,โชคดี!,La fortuna aiuta gli audaci!
summon.most_pulled_character,summon,Most Pulled Character,最常招募的角色,最常招募的角色,最も引いたキャラクター,가장 많이 뽑은 캐릭터,Чаще Всего Выпавший Персонаж,Personaje Más Obtenido,Personagem Mais Evocado,Personnage le Plus Obtenu,Am meisten beschwörter Charakter,Karakter Paling Sering Di-summon,Nhân vật triệu hồi nhiều nhất,ตัวละครที่เรียกได้มากที่สุด,Personaggio Più Evocato
summon.most_pulled_six_star,summon,Most Pulled 6★,最常招募的6★,最常招募的6★,最も引いた6★,가장 많이 뽑은 6★,Чаще Всего Выпавший 6★,6★ Más Obtenido,6★ Mais Evocado,6★ le Plus Obtenu,Am meisten beschwörter 6★,6★ Paling Sering Di-summon,6 sao triệu hồi nhiều nhất,6 ดาวที่เรียกได้มากที่สุด,6★ Più Evocato
summon.new_record,summon,New record! Your {count} six-star{plural} beat your previous best of {previous}! Submit to leaderboard?,新纪录！您的{count}个六星超越了之前的最佳{previous}！提交到排行榜？,新紀錄！您的{count}個六星超越了之前的最佳{previous}！提交到排行榜？,新記録！あなたの{count}体の六星は以前のベスト{previous}を超えました！リーダーボードに提出？,신기록! {count}개의 6성이 이전 최고 {previous}를 넘었습니다! 리더보드에 제출?,Новый рекорд! Ваши {count} шестизвёздных превзошли предыдущий лучший результат {previous}! Отправить в таблицу лидеров?,¡Nuevo récord! ¡Tus {count} seis estrellas superaron tu mejor anterior de {previous}! ¿Enviar a la tabla de clasificación?,Novo Recorde!,Nouveau Record !,Neuer Rekord!,Rekor Baru!,Kỷ lục mới!,สถิติใหม่!,Nuovo record! I tuoi {count} sei stelle{plural} battono il tuo record precedente di {previous}! Inviare alla classifica?
summon.new_record_submitted,summon,New record! Your score of {score} has been submitted to the leaderboard!,新纪录！您的得分{score}已提交到排行榜！,新紀錄！您的得分{score}已提交到排行榜！,新記録！あなたのスコア{score}がリーダーボードに提出されました！,신기록! 점수 {score}가 리더보드에 제출되었습니다!,Новый рекорд! Ваш счёт {score} отправлен в таблицу лидеров!,¡Nuevo récord! ¡Tu puntuación de {score} ha sido enviada a la tabla de clasificación!,Novo recorde enviado,Nouveau record soumis !,Neuer Rekord eingereicht!,Rekor baru dikirim,Đã gửi kỷ lục mới,ส่งสถิติใหม่แล้ว,Nuovo record! Il tuo punteggio di {score} è stato inviato alla classifica!
summon.next_guaranteed,summon,Next summon is guaranteed 5★ or higher!,下一次招募保证获得5★或更高！,下一次招募保證獲得5★或更高！,次の召喚で5★以上を確定！,다음 소환에서 5★ 이상 보장!,Следующий призыв гарантирует 5★ или выше!,¡La próxima invocación garantiza un 5★ o superior!,Próximo Garantido,Prochain Garanti,Nächster Garantiert,Jaminan Berikutnya,Đảm bảo tiếp theo,การันตีถัดไป,La prossima evocazione è garantita 5★ o superiore!
summon.next_guarantees_five_star,summon,Next summon guarantees a 5★ or higher!,下一次招募保证获得5★或更高！,下一次招募保證獲得5★或更高！,次の召喚で5★以上を確定！,다음 소환에서 5★ 이상 보장!,Следующий призыв гарантирует 5★ или выше!,¡La próxima invocación garantiza un 5★ o superior!,Próximo Garante 5★,Le prochain garantit un 5★,Der nächste garantiert einen 5★,Berikutnya Menjamin 5★,Tiếp theo đảm bảo 5 sao,ถัดไปการันตี 5 ดาว,La prossima evocazione garantisce un 5★ o superiore!
summon.next_guarantees_six_star,summon,Next summon guarantees a 6★!,下一次招募保证获得6★！,下一次招募保證獲得6★！,次の召喚で6★確定！,다음 소환에서 6★ 보장!,Следующий призыв гарантирует 6★!,¡La próxima invocación garantiza un 6★!,Próximo Garante 6★,Le prochain garantit un 6★,Der nächste garantiert einen 6★,Berikutnya Menjamin 6★,Tiếp theo đảm bảo 6 sao,ถัดไปการันตี 6 ดาว,La prossima evocazione garantisce un 6★!
summon.nice_pull,summon,Nice Pull!,不错的抽卡！,不錯的抽卡！,良い引き！,좋은 뽑기!,Хороший Призыв!,¡Buena Invocación!,Boa Evocação!,Belle Invocation !,Gute Beschwörung!,Summon Bagus!,Triệu hồi đẹp!,การเรียกดี!,Bel Pull!
summon.no_history,summon,No summon history yet. Perform your first summon to see results here!,还没有招募历史。进行您的首次招募以在此处查看结果！,還沒有招募歷史。進行您的首次招募以在此處查看結果！,まだ召喚履歴がありません。最初の召喚を実行してここに結果を表示してください！,아직 소환 기록이 없습니다. 첫 소환을 수행하여 결과를 확인하세요!,"Пока нет истории призывов. Выполните свой первый призыв, чтобы увидеть результаты здесь!",Aún no hay historial de invocaciones. ¡Realiza tu primera invocación para ver resultados aquí!,Sem histórico,Pas d'historique,Keine Historie,Tidak ada riwayat,Không có lịch sử,ไม่มีประวัติ,Ancora nessuna cronologia evocazioni. Effettua la tua prima evocazione per vedere i risultati qui!
summon.not_counted_warning,summon,Your summon results will not be counted towards the leaderboard.,您的招募结果不会计入排行榜。,您的招募結果不會計入排行榜。,あなたの召喚結果はリーダーボードにカウントされません。,소환 결과가 리더보드에 카운트되지 않습니다.,Ваши результаты призывов не будут учитываться в таблице лидеров.,Tus resultados de invocación no contarán para la tabla de clasificación.,Não contado no ranking,Cette invocation ne compte pas pour le classement,Diese Beschwörung zählt nicht für die Rangliste,Tidak dihitung di papan peringkat,Không được tính vào bảng xếp hạng,ไม่นับในลีดเดอร์บอร์ด,I tuoi risultati di evocazione non saranno conteggiati nella classifica.
summon.not_logged_in,summon,Not logged in,未登录,未登入,未ログイン,로그인되지 않음,Вы не вошли,Sesión no iniciada,Não logado,Non Connecté,Nicht angemeldet,Belum masuk,Chưa đăng nhập,ยังไม่ได้เข้าสู่ระบบ,Non connesso
summon.not_logged_in_message,summon,Too bad you weren't logged in! This pull could have claimed a top 10 spot on the leaderboard.,真可惜您没有登录！这次抽卡本可以进入前10名。,真可惜您沒有登入！這次抽卡本可以進入前10名。,ログインしていなかったのは残念です！この引きはトップ10に入ることができました。,로그인하지 않아서 아쉽습니다! 이 뽑기는 상위 10위에 들 수 있었습니다.,"Жаль, что вы не были авторизованы! Этот призыв мог бы попасть в топ-10.",¡Qué lástima que no iniciaste sesión! Esta invocación podría haber reclamado un lugar en el top 10.,Entre para salvar seu progresso,Connectez-vous pour sauvegarder vos statistiques,"Melden Sie sich an, um Ihre Statistiken zu speichern",Masuk untuk menyimpan progres Anda,Đăng nhập để lưu thống kê và cạnh tranh trên bảng xếp hạng,เข้าสู่ระบบเพื่อบันทึกสถิติและแข่งขันในลีดเดอร์บอร์ด,Peccato che non fossi connesso! Questo pull avrebbe potuto reclamare un posto nella top 10 della classifica.
summon.not_owned,summon,Not owned,未拥有,未擁有,未所持,미소유,Не получен,No poseído,Não Possuído,Non Possédé,Nicht besessen,Tidak Dimiliki,Chưa sở hữu,ยังไม่มี,Non posseduto
summon.novice_description,summon,Perform your first summon to see your statistics!,进行您的首次招募以查看统计！,進行您的首次招募以查看統計！,統計を表示するには最初の召喚を実行してください！,첫 소환을 수행하여 통계를 확인하세요!,"Выполните свой первый призыв, чтобы увидеть статистику!",¡Realiza tu primera invocación para ver tus estadísticas!,Continue evocando para melhorar,Continuez à invoquer pour débloquer des statistiques,"Beschwören Sie weiter, um Statistiken freizuschalten",Terus summon untuk meningkat,Tiếp tục triệu hồi để cải thiện thống kê của bạn,เรียกต่อไปเพื่อปรับปรุงสถิติของคุณ,Effettua la tua prima evocazione per vedere le tue statistiche!
summon.novice_summoner,summon,Novice Summoner,新手召唤师,新手召喚師,初心者サモナー,초보 소환사,Новичок-Призыватель,Invocador Novato,Evocador Novato,Invocateur Novice,Anfänger-Beschwörer,Summoner Pemula,Người triệu hồi mới,ผู้เรียกมือใหม่,Evocatore Novizio
summon.on_leaderboard,summon,#{placement} on leaderboard,排行榜第{placement}名,排行榜第{placement}名,リーダーボード#{placement}位,리더보드 #{placement}위,#{placement} в таблице лидеров,#{placement} en la tabla de clasificación,No Ranking,Au Classement,In der Rangliste,Di Papan Peringkat,Trên bảng xếp hạng,บนลีดเดอร์บอร์ด,#{placement} in classifica
summon.owned_count,summon,{count}×,{count}×,{count}×,{count}×,{count}×,{count}×,{count}×,Quantidade Possuída,Possédés,Besessen,Jumlah Dimiliki,Số lượng sở hữu,จำนวนที่มี,{count}×
summon.perform_10x,summon,Perform 10x Summon/Headhunt,进行10次招募/寻访,進行10次招募/尋訪,10回召喚/ヘッドハントを実行,10회 소환/헤드헌트 수행,Выполнить 10-кратный Призыв/Рекрутинг,Realizar 10 Invocaciones/Reclutamientos,Evocar ×10,Effectuer x10,10x durchführen,Summon ×10,Triệu hồi 10 lần,เรียก 10 ครั้ง,Effettua Evocazione/Headhunt 10x
summon.pity_active,summon,Pity system active! +{bonus}% bonus rate,保底系统激活！+{bonus}%加成率,保底系統啟動！+{bonus}%加成率,天井システム稼働中！+{bonus}%ボーナス率,천장 시스템 활성화! +{bonus}% 보너스 확률,Система гарантии активна! +{bonus}% бонусный шанс,¡Sistema de piedad activo! +{bonus}% de tasa bonus,Pity Ativo,Pitié Active,Mitleid aktiv,Pity Aktif,Pity đang hoạt động,Pity ทำงานอยู่,Sistema pity attivo! +{bonus}% tasso bonus
summon.pity_active_bonus,summon,Pity active: +{bonus}% bonus,保底激活中：+{bonus}%加成,保底啟動中：+{bonus}%加成,天井発動中：+{bonus}%ボーナス,천장 활성화: +{bonus}% 보너스,Гарантия активна: +{bonus}% бонус,Piedad activa: +{bonus}% bonus,Bônus de Pity Ativo,Bonus de Pitié Actif,Mitleids-Bonus aktiv,Bonus Pity Aktif,Pity đang hoạt động với bonus,Pity ทำงานพร้อมโบนัส,Pity attivo: +{bonus}% bonus
summon.pity_bonus,summon,Pity Bonus,保底加成,保底加成,天井ボーナス,천장 보너스,Бонус Гарантии,Bonificación de Piedad,Bônus de Pity,Bonus de Pitié,Mitleids-Bonus,Bonus Pity,Bonus pity,โบนัส pity,Bonus Pity
summon.pity_counter,summon,Pity Counter,保底计数器,保底計數器,天井カウンター,천장 카운터,Счётчик Гарантии,Contador de Piedad,Contador de Pity,Compteur de Pitié,Mitleids-Zähler,Counter Pity,Bộ đếm pity,ตัวนับ pity,Contatore Pity
summon.pity_resets,summon,Pity resets completely when you get a 6★,获得6★时保底完全重置,獲得6★時保底完全重置,6★を獲得すると天井が完全にリセット,6★를 획득하면 천장이 완전히 리셋,Гарантия полностью сбрасывается при получении 6★,La piedad se reinicia completamente al obtener un 6★,Pity Reseta,La pitié se réinitialise,Mitleid wird zurückgesetzt,Pity Reset,Pity đặt lại,Pity รีเซ็ต,Il pity si resetta completamente quando ottieni un 6★
summon.pity_starts_at,summon,Pity starts at {threshold} summons: +{increase}% per summon,保底从第{threshold}次招募开始：每次+{increase}%,保底從第{threshold}次招募開始：每次+{increase}%,天井は{threshold}回召喚から開始：1回ごとに+{increase}%,천장은 {threshold}회 소환부터 시작: 매번 +{increase}%,Гарантия начинается с {threshold} призывов: +{increase}% за призыв,La piedad comienza en {threshold} invocaciones: +{increase}% por invocación,Pity Começa em,La pitié commence à,Mitleid beginnt bei,Pity Dimulai di,Pity bắt đầu tại,Pity เริ่มที่,Il pity inizia a {threshold} evocazioni: +{increase}% per evocazione
summon.pity_system,summon,Pity System (6★),保底系统（6★）,保底系統（6★）,天井システム（6★）,천장 시스템 (6★),Система Гарантии (6★),Sistema de Piedad (6★),Sistema de Pity,Système de Pitié,Mitleids-System,Sistem Pity,Hệ thống pity,ระบบ pity,Sistema Pity (6★)
